name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20190107A,0.86,21.81,849.19,0.78,-39.7
FRB20190107B,33.45,83.4,166.0939,0.003,20.93
FRB20190109A,107.96,5.16,324.604,0.021,6.88
FRB20190109A,107.96,5.16,324.604,0.021,6.88
FRB20190109B,253.47,1.25,175.168,0.025,26.53
FRB20190110A,64.95,47.44,472.7526,0.0078,-1.95
FRB20190110B,131.68,50.16,486.118,0.012,38.68
FRB20190110C,246.98,41.42,221.961,0.015,43.85
FRB20190111A,217.0,26.78,171.96819,0.00082,68.51
FRB20190111A,217.0,26.78,171.96819,0.00082,68.51
FRB20190111A,217.0,26.78,171.96819,0.00082,68.51
FRB20190111B,260.02,13.53,1336.9271,0.0064,26.27
FRB20190112A,257.98,61.2,425.8474,0.0051,35.45
FRB20190113A,108.14,-2.99,428.924,0.012,3.33
FRB20190114A,8.95,19.17,887.392,0.048,-43.55
FRB20190115A,45.61,54.28,1021.684,0.015,-3.83
FRB20190115B,76.82,82.06,748.293,0.018,23.43
FRB20190116E,19.36,52.32,1491.0006,0.0041,-10.35
FRB20190116D,85.1,68.68,1164.025,0.023,19.03
FRB20190116A,192.33,27.15,445.48,0.21,89.53
FRB20190116B,192.33,27.15,443.549,0.021,89.53
FRB20190116C,249.32,70.96,629.27648,0.00029,36.26
FRB20190116F,261.67,75.0,316.9203,0.0082,31.58
FRB20190117C,115.13,74.59,865.9008,0.0064,29.33
FRB20190117D,208.87,31.68,1178.063,0.011,75.35
FRB20190117A,331.71,17.37,393.3602,0.0022,-30.23
FRB20190118B,39.71,23.57,670.89,0.15,-33.06
FRB20190118A,253.31,11.55,225.10795,0.00072,31.42
FRB20190121A,354.74,78.6,425.3534,0.0058,16.25
FRB20190122B,2.53,35.12,469.565,0.036,-26.99
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122C,200.6,17.57,689.902,0.0078,78.07
FRB20190122A,349.56,37.5,1231.21,0.31,-21.77
FRB20190124A,50.46,51.58,1275.853,0.024,-4.64
FRB20190124B,214.69,28.8,441.3838,0.0098,70.67
FRB20190124C,217.17,28.38,303.644,0.0013,68.49
FRB20190124C,217.17,28.38,303.644,0.0013,68.49
FRB20190124D,237.26,81.23,340.12,0.017,33.2
FRB20190124E,297.75,20.57,617.79,0.092,-3.09
FRB20190124F,338.92,5.3,254.7903,0.005,-43.87
FRB20190125A,45.73,27.81,564.701,0.027,-26.64
FRB20190125B,231.45,50.54,178.238,0.015,52.58
FRB20190126A,29.5031258,65.7167542,350.0017,0.0073,3.73
FRB20190127B,150.92,83.56,663.028,0.048,31.83
FRB20190128A,21.8,24.67,696.117,0.019,-37.49
FRB20190128B,127.44,23.29,248.2302,0.0059,31.35
FRB20190128C,69.8,78.94,310.622,0.076,20.76
FRB20190128D,283.32,17.44,430.231,0.015,7.46
FRB20190129A,45.06,21.42,484.761,0.014,-32.31
FRB20190130A,25.64,13.16,1367.461,0.05,-47.84
FRB20190130B,172.11,16.05,989.0307,0.0036,67.8
FRB20190131E,195.65,80.92,279.8006,0.0025,36.2
FRB20190131D,57.46,22.75,642.1218,0.0012,-24.08
FRB20190131D,57.46,22.75,642.1218,0.0012,-24.08
FRB20190131C,166.45,10.43,507.7618,0.0027,60.05
FRB20190131B,354.72,11.71,1805.729,0.0043,-47.36
FRB20190201B,118.2,55.58,749.176,0.01,30.61
FRB20190201A,64.03,84.84,242.0038,0.004,23.83
FRB20190202B,114.32,32.45,464.906,0.0022,23.2
FRB20190202A,344.2,17.1,307.3605,0.00046,-37.76
FRB20190203B,130.64,61.89,582.2248,0.0095,36.7
FRB20190203A,133.68,70.82,420.5727,0.0043,35.48
FRB20190203C,196.01,2.48,370.462,0.016,65.17
FRB20190204A,161.33,61.53,449.639,0.061,49.68
FRB20190204B,255.92,75.87,1464.9393,0.0049,32.73
FRB20190205A,342.22,83.37,695.389,0.0053,21.38
FRB20190206C,200.45,74.39,1043.002,0.021,42.57
FRB20190206B,49.76,79.5,352.52,0.11,18.58
FRB20190206A,244.85,9.36,188.3364,0.0061,37.95
FRB20190208B,91.0,80.88,714.22009,0.00054,24.91
FRB20190208C,141.55,83.56,238.3921,0.0024,31.03
FRB20190208A,283.52,46.96,579.843,0.012,19.04
FRB20190208A,283.52,46.96,579.843,0.012,19.04
FRB20190208A,283.52,46.96,579.843,0.012,19.04
FRB20190208A,283.52,46.96,579.843,0.012,19.04
FRB20190209A,144.32,77.67,424.786,0.031,34.84
FRB20190210B,104.18,23.7,624.1879,0.0021,11.66
FRB20190210C,295.75,89.1,643.3669,0.0025,26.92
FRB20190210A,144.32,77.67,426.12,0.13,34.84
FRB20190210D,307.8,55.46,359.1477,0.004,9.37
FRB20190210E,313.65,86.67,580.58,0.011,25.39
FRB20190211A,67.06,68.64,1188.256,0.0043,13.59
FRB20190211B,299.62,61.37,260.7,0.00068,16.1
FRB20190212B,139.99,52.11,600.1866,0.0028,43.61
FRB20190212C,172.57,28.14,1016.45,0.033,72.02
FRB20190212D,178.83,66.72,1139.765,0.034,49.47
FRB20190212A,276.14,81.43,301.784,0.033,27.8
FRB20190213A,31.72,20.08,651.06,0.073,-39.38
FRB20190213C,64.26,45.0,357.0634,0.0056,-4.02
FRB20190213B,276.14,81.43,301.3128,0.0075,27.8
FRB20190213B,276.14,81.43,301.3128,0.0075,27.8
FRB20190213D,336.45,52.71,1346.8476,0.0022,-4.08
FRB20190214A,96.09,66.24,497.68,0.1,22.03
FRB20190214C,218.87,19.36,533.112,0.02,64.93
FRB20190215B,335.04,45.34,274.6295,0.0033,-9.78
FRB20190216A,256.33,68.28,1282.37,0.28,34.8
FRB20190217A,94.88,43.11,798.1092,0.0094,12.79
FRB20190217B,22.58,26.95,846.212,0.015,-35.12
FRB20190218A,184.05,56.42,1285.129,0.01,60.04
FRB20190218B,268.7,17.93,547.868,0.047,20.34
FRB20190218C,156.96,77.95,319.32387,0.00073,36.62
FRB20190219A,105.78,43.13,657.1942,0.0089,20.17
FRB20190219B,246.3,57.92,1681.11,0.016,41.91
FRB20190219C,349.67,49.21,806.688,0.016,-10.91
FRB20190220A,237.21,74.16,216.12,0.012,37.76
FRB20190221A,132.6,9.9,223.806,0.017,30.89
FRB20190221B,286.77,27.86,393.124,0.041,9.17
FRB20190221C,316.15,54.67,2042.3,0.012,5.14
FRB20190221D,24.81,60.93,473.7873,0.0077,-1.4
FRB20190222B,160.69,19.62,497.619,0.047,59.62
FRB20190222C,239.18,40.03,524.0071,0.0066,49.81
FRB20190222A,313.06,69.83,460.169,0.015,15.88
FRB20190222D,313.9,26.57,895.2976,0.0048,-11.92
FRB20190223A,64.72,87.65,389.2365,0.0097,25.66
FRB20190223B,311.62,60.56,536.5143,0.0048,10.76
FRB20190224A,60.53,83.39,818.4,0.09,22.58
FRB20190224B,268.24,82.57,839.3674,0.0051,28.76
FRB20190224C,124.05,19.78,497.4,0.0039,27.2
FRB20190224D,331.89,89.05,752.9522,0.0019,26.41
FRB20190224E,183.04,61.54,435.8612,0.0012,54.96
FRB20190226A,58.83,31.93,601.5727,0.0016,-16.49
FRB20190226B,273.57,61.81,631.603,0.032,28.02
FRB20190226C,17.46,26.76,827.77,0.022,-35.93
FRB20190227A,108.41,56.34,394.0388,0.0012,25.29
FRB20190227B,220.54,39.8,331.2289,0.003,63.82
FRB20190228A,183.48,22.9,419.0825,0.0051,80.51
FRB20190228B,50.01,81.94,1115.2461,0.008,20.61
FRB20190301B,69.5,74.08,621.333,0.025,17.71
FRB20190301C,171.83,34.93,802.913,0.024,70.42
FRB20190301D,278.72,74.68,1160.692,0.015,27.18
FRB20190301A,313.06,69.83,459.5613,0.0097,15.88
FRB20190301A,313.06,69.83,459.5613,0.0097,15.88
FRB20190302A,34.8,61.34,1034.239,0.056,0.24
FRB20190303B,128.74,66.03,193.50698,0.00073,35.06
FRB20190303C,173.24,26.32,1089.655,0.011,72.48
FRB20190303D,179.57,70.84,711.151,0.014,45.64
FRB20190303A,208.03,48.24,221.667,0.017,65.81
FRB20190304A,124.51,74.61,483.727,0.011,31.79
FRB20190304B,204.86,24.19,470.0053,0.0057,78.8
FRB20190304C,223.01,26.72,564.991,0.014,63.18
FRB20190307A,254.55,9.85,355.337,0.062,29.59
FRB20190307B,269.2,38.4,294.001,0.053,26.61
FRB20190308C,188.36,44.39,500.519,0.026,72.36
FRB20190308C,188.36,44.39,500.519,0.026,72.36
FRB20190308B,38.59,83.62,180.18,0.007,21.35
FRB20190308B,38.59,83.62,180.18,0.007,21.35
FRB20190309A,278.96,52.41,356.9,0.026,23.47
FRB20190313B,101.98,74.13,1191.248,0.062,25.78
FRB20190313A,190.53,65.13,364.5,0.12,51.97
FRB20190316A,5.23,20.51,515.9273,0.0058,-41.79
FRB20190317A,87.44,44.66,1157.2595,0.0074,8.75
FRB20190317B,101.01,49.73,424.314,0.013,19.23
FRB20190317C,125.82,32.07,598.263,0.073,32.43
FRB20190317F,236.25,47.05,1118.109,0.012,50.75
FRB20190317E,274.37,13.25,800.88,0.013,13.44
FRB20190318A,324.11,74.46,419.2661,0.0077,16.39
FRB20190319A,113.43,5.72,2039.936,0.015,12.0
FRB20190320A,61.6,63.36,614.146,0.014,8.3
FRB20190320B,250.4,39.63,489.4949,0.0067,41.2
FRB20190320C,254.73,22.38,368.7898,0.0094,34.17
FRB20190320D,262.22,59.07,1141.35,0.2,33.53
FRB20190320E,76.64,89.16,299.135,0.0042,26.75
FRB20190322A,110.75,51.3,1060.118,0.026,25.61
FRB20190322B,132.03,73.34,576.982,0.024,34.14
FRB20190322C,296.36,70.7,1192.0806,0.0012,21.2
FRB20190323A,112.37,34.46,857.5038,0.0089,22.29
FRB20190323B,193.22,77.24,789.56311,0.00076,39.89
FRB20190323C,199.5,40.07,381.118,0.01,75.94
FRB20190323D,56.88,46.93,763.65,0.18,-5.97
FRB20190325A,130.41,83.07,359.289,0.013,30.15
FRB20190325B,183.92,30.32,1733.918,0.026,81.54
FRB20190325C,53.85,60.17,797.83,0.028,3.52
FRB20190326A,161.9,74.22,283.3113,0.005,40.27
FRB20190328A,120.35,59.1,1303.58,0.13,31.91
FRB20190328B,199.47,86.85,565.001,0.016,30.26
FRB20190328C,73.83,81.96,472.8607,0.0075,23.02
FRB20190329A,65.54,73.63,188.606,0.047,16.58
FRB20190330A,204.09,38.36,508.965,0.02,75.35
